patent_number,title,abstract,date_filed,date_granted
US12108143B2,"Portable imaging device 
       ","
     A portable imaging device is configured to: obtain video data through shooting; perform a first digital image processing on the video data; and stop the first digital image processing when performing a second digital image processing on the video data while the first digital image processing is being performed. The second digital image processing is different from the first digital image processing. 
   
   ",,
US12235905B2,"Content display and clustering system 
       ","
     Disclosed herein are various embodiments, for a content display and clustering system. An example embodiment operates by receiving a request to display the plurality of content items. At each of multiple levels different pairs of content items are identified and a similarity score is computed for each pair. A subset of pairs for which their similarity score exceeds a similarity threshold for the respective level are identified and clustered. This process is repeated for one or more iterations at the same level, and then the process is repeated for each of the multiple levels. A final clustered subset is identified, and output for display, responsive to the request to display the plurality of content items. 
   
   ",,
US12313852B2,"Time-multiplexed display of virtual content at various depths 
       ","
     Techniques for operating an optical system are disclosed. World light may be linearly polarized along a first axis. When the optical system is operating in accordance with a first state, a polarization of the world light may be rotated by 90 degrees, the world light may be linearly polarized along a second axis perpendicular to the first axis, and zero net optical power may be applied to the world light. When the optical system is operating in accordance with a second state, virtual image light may be projected onto an eyepiece of the optical system, the world light and the virtual image light may be linearly polarized along the second axis, a polarization of the virtual image light may be rotated by 90 degrees, and non-zero net optical power may be applied to the virtual image light. 
   
   ",,
US12307998B2,"Window and display device including the same 
       ","
     Provided are a window and a display device including the window. The window may include a base layer having a refractive index of about of 1.6 to about 2.0, a first layer on an upper side of the base layer and having a refractive index lower than that of the base layer, a second layer on an upper side of the first layer, a middle adhesive layer between the first layer and the second layer, and a print layer on a lower side of the base layer. 
   
   ",,
US12257069B2,"System comprising a sensing unit and a device for processing data relating to disturbances that may occur during the sleep of a subject 
       ","
     The present invention relates to devices, systems and methods for detecting disturbances that may occur during the sleep of a subject using measurements and assessments of mandibular rotation and movement of a sleeping subject. A sensing unit may be positioned onto the exterior of the subject's mandible and may generate data measurements corresponding to mandibular rotation and movement. For example, measurements by an accelerometer and gyroscope corresponding to rotation and movement of the mandible provide the necessary information to arrive at an accurate assessment of sleep stages, sleep indicators and/or other sleep related information which may be used to make recommendations regarding sleep conditions and/or disorders. A report may be generated including such sleep stages, sleep indicators and/or other sleep related information as well as any recommendations regarding sleep conditions and/or disorders for use for diagnosing sleep events such as obstructive sleep apnea (OSA). 
   
   ",,
US12313946B2,"Electronic device 
       ","
     An electronic device includes a substrate, a driving element, a first insulating layer, a pixel electrode layer, and a common electrode layer. The driving element is disposed on the substrate. The first insulating layer is disposed on the driving element. The pixel electrode layer is disposed on the first insulating layer. The first insulating layer comprises a hole, and the pixel electrode layer is electrically connected to the driving element through the hole. The common electrode layer is disposed on the pixel electrode layer. The common electrode layer comprises a slit, and the slit has an edge, and the edge is disposed in the hole. 
   
   ",,
US12315625B2,"Artificial intelligence assisted dynamic medical appointment scheduling 
       ","
     A method includes receiving, from a person via a user interface, a request to schedule a medical appointment for a patient, and identifying, using a scheduling module, one or more available appointment slots for scheduling of the medical appointment. For each particular available appointment slot of the one or more available appointment slots, the method includes determining, using a load-leveling model, a corresponding price. The method also includes presenting, in the user interface for the person, the one or more available appointment slots and the corresponding prices, receiving, at the scheduling module, from the person via the user interface, a selection of a selected appointment slot of the one or more available appointment slots, and allocating the corresponding price for the selected appointment slot to an account associated with the patient, and scheduling, using the scheduling module, the patient for the medical appointment in the selected appointment slot. 
   
   ",,
US12206749B2,"Deployment of workflow tasks with fixed preconfigured parameters in cloud-based media applications 
       ","
     This disclosure generally relates to media application development and deployment using an NBMP system. More specifically, this disclosure describes methods and apparatuses for instance level configuration of functions used in NBMP workflows. Example mechanisms are provided for configuring different instances of a same function in various tasks in a media processing workflow with customized configurations and restrictions based on a format of a general configuration descriptor of the function. 
   
   ",,
US12314479B2,"Gesture control of a fluid application system 
       ","
     A fluid application system includes a pump unit configured to pump a fluid to a fluid applicator. The fluid application system includes a sensor configured to sense a motion made by a user and generate a sensor signal indicative of the sensed motion. The fluid application system also includes a control system configured to identify a gesture based on the sensor signal and control the fluid application system based on the identified gesture. 
   
   ",,
US12277804B2,"Spoof detection using catadioptric spatiotemporal corneal reflection dynamics 
       ","
     Methods, systems, and computer-readable storage media for determining that a subject is a live person include obtaining, by an image capture device, a set of subject images. Each image is captured at a different corresponding relative location of the image capture device with respect to the subject. Parameters are determined from the set of images of the subject. The parameters represent corneal reflections of at least one object in at least one eye of the subject. A determination is made, based on the parameters, that the subject is a live person. Responsive to determining that the subject is a live person, an authentication process is initiated to authenticate the subject. 
   
   ",,
US12262012B2,"Image or video coding based on signaling of quantization parameter offset-related information 
       ","
     According to the disclosure of the present document, chroma quantization parameter offset-related information may be signaled via a palette coding syntax, and index information about a chroma quantization parameter offset list may be efficiently parsed/signaled on the basis of information about the number of entries within the chroma quantization parameter offset list. Accordingly, bits that need to be signaled for video/image coding can be reduced, and coding efficiency can be improved. 
   
   ",,
US12316791B2,"Rotation shaft structure and electronic device 
       ","
     The rotation shaft structure includes a main shaft assembly, and two folding assemblies that are symmetrically disposed with respect to the main shaft assembly. The two folding assemblies may rotate toward or against each other relative to the main shaft assembly. When the folding assembly is specifically disposed, the folding assembly includes a rotation assembly, a support plate, and a housing mounting bracket. The rotation assembly is rotationally connected to the main shaft assembly. The support plate is rotationally connected to the housing mounting bracket and slidably connected to the rotation assembly. 
   
   ",,
US12204206B2,"Display panel for home appliances, method of manufacturing the same, and display device including the same 
       ","
     A display panel for a home appliance, including a backlight unit to output light; a micro-lens array on the backlight unit to diffuse the light output from the backlight unit; an optical sheet layer on the micro-lens array to increase straightness of the light diffused by the micro-lens array; a touch panel on the optical sheet layer, through which the straightened light passes; and a surface layer on the touch panel to display an image according to the straightened light, wherein the optical sheet layer is configured to increase the straightness of the light diffused by the micro-lens array so as to increase brightness and sharpness of the image displayed on the surface layer. 
   
   ",,
US12200791B2,"Communication method and multi-link device 
       ","
     This application provides communication methods, apparatus and systems. In an example method, a first station (STA) of a station multi-link device (STA MLD) sends a request frame to an access point multi-link device (AP MLD), wherein the request frame is used to request to establish single-link communication, and an address 2 field in the request frame is set to a media access control (MAC) address of the STA MLD. The first STA receives a response frame from the AP MLD, wherein the response frame indicates that the single-link communication is successfully established. The first STA performs air interface transmission with the AP MLD according to the single-link communication. 
   
   ",,
US12283220B2,"Display device, an electronic device including the same, and a method for driving the electronic device 
       ","
     An electronic device including: a host processor to generate a first clock signal and to output frame data and a synchronization signal; a driving controller to receive the synchronization signal and the frame data from the host processor and to generate a control signal based on a second clock signal; and a display panel, wherein the driving controller synchronizes the second clock signal with the first clock signal based on the synchronization signal, wherein the driving controller includes an error detector to detect an error of the synchronization signal, and wherein the error detector outputs a first signal when the error is an initial synchronization fail error and outputs a second signal different from the first signal when the error is a synchronization loss error. 
   
   ",,
US12316849B2,"Image encoding/decoding method and device for performing prof, and method for transmitting bitstream 
       ","
     An image encoding/decoding method and apparatus are provided. An image decoding method according to the present disclosure is performed by an image decoding apparatus. The image decoding method comprises deriving a prediction sample of a current block based on motion information of the current block, deriving a reference picture resampling (RPR) condition for the current block, determining whether prediction refinement with optical flow (PROF) applies to the current block based on the RPR condition, and deriving a refined prediction sample for the current block by applying PROF to the current block. 
   
   ",,
US12278974B2,"Slice and tile configuration for image/video coding 
       ","
     A video decoding method performed by a video decoding apparatus, according to the present document, comprises: parsing number information about the number of slices of which heights are explicitly signaled in a tile of a current picture from a bitstream; parsing height information about the heights of slices of which heights are explicitly signaled from the bitstream based on the number information; deriving the number of slices in the tile based on the number information and the height information; and decoding the current picture based on the slices in the tile, wherein the height information includes the same number of syntax elements as a value of the number information, and based on the value of the number information being n, the heights of a 0th slice to an n−1th slice in the tile may be derived based on the syntax elements. 
   
   ",,
US12267983B2,"Impeller, fan and electronic device 
       ","
     An impeller with different blades with different lengths for suppressing noise is disclosed. The impeller includes a fan hub and a plurality of blades. The blades are positioned at intervals around the fan hub and arranged in a circular array. The blades extend radially from the fan hub, and two opposite ends of each of the blades are a root portion and a head portion respectively. All root portions of the blades are connected to a peripheral side of the fan hub, and all head portions of the blades are located on a same circle. Every two adjacent blades are different in length in a longitudinal direction from the root portion thereof to the head portion thereof. 
   
   ",,
US12250728B2,"Method applied at node for wireless communication and apparatus 
       ","
     A method applied at a node for wireless communication and an apparatus are provided. One method includes: transmitting a first plurality of random access preambles by using a first spatial filter, wherein a first plurality of physical random access channel occasions are used for transmission of the first plurality of random access preambles; monitoring a first control signaling during a first time window in response to the first plurality of random access preambles; transmitting a second plurality of random access preambles by using a second spatial filter, wherein a second plurality of physical random access channel occasions are used for transmission of the second plurality of random access preambles; and monitoring a second control signaling during a second time window in response to the second plurality of random access preambles. 
   
   ",,
US12268481B2,"Photoplethysmography-based blood pressure monitoring device 
       ","
     A blood pressure monitoring device includes a wrist strap, a case, and a display. The strap portion is adapted to fasten the device to the wrist without occluding blood flow. At least one sensor modality is arranged within the case for obtaining sensor data from an artery in the wrist. In a preferred embodiment photoplethysmography sensors are incorporated in the case to generate PPG waveform data. A processor within the case is operable to compute mean arterial pressure, and optionally diastolic and systolic blood pressure based on extracted and computed features of the sensor data. Related methods and systems are also described. 
   
   ",,
US12298956B2,"Method and apparatus for generating index, and electronic device 
       ","
     A method for generating an index, and an electronic device are provided. The detailed solution includes: determining a first parameter group and a second parameter group in response to receiving a query request for a first vector database and there being no available index for the first vector database, constructing a first index for the first vector database based on the first parameter group, and querying the first vector database based on the first index; constructing a second index for the first vector database based on the second parameter group in response to meeting a preset condition; and in response to determining that construction of the second index is completed, deleting the first index, and querying the first vector database based on the second index. 
   
   ",,
US12234974B2,"Light-emitting module and display device 
       ","
     A light-emitting module and a display device are provided. The light-emitting module includes a backlight module and a first circuit board electrically connected to the backlight module. The first circuit board includes a first surface and at least one first electrical connection terminal on the first surface; the backlight module includes a second circuit board, the second circuit board includes at least one second electrical connection terminal, and the at least one first electrical connection terminal and the at least one second electrical connection terminal are electrically connected on the first surface to form an electrical connection region; the light-emitting module further includes a fixing adhesive film; the fixing adhesive film includes a first light-transmitting region; and the light-emitting module at least includes a first state, the electrical connection region is visible through the first light-transmitting region in the first state. 
   
   ",,
US12315403B2,"Holographically displaying three-dimensional objects 
       ","
     Methods, apparatus, devices, subsystems, and systems related to irregular devices and methods for designing and fabricating the irregular devices are provided. In one aspect, a device includes: a backplane comprising a plurality of circuits and a plurality of elements arranged on the backplane. Each of the plurality of elements includes a metallic electrode. Each of the metallic electrodes is coupled to a respective circuit of the plurality of circuits in the backplane through a corresponding via of a plurality of vias, and a position relationship between the metallic electrode and the corresponding via satisfies one or more criteria. 
   
   ",,
US12256122B2,"Apparatus, computer-readable medium, and method for channel change detection-based short content identification 
       ","
     Methods, apparatus, systems, and articles of manufacture are disclosed that improve short content identification in an audio stream through channel change detection and audio block realignment. Example instructions cause one or more processors to form a first audio block from an audio stream, detect whether the first audio block contains a channel change, the first audio block being one of a plurality of audio blocks the accessed audio, determine an offset of time from a beginning of the first audio block to when the channel change occurs in response to the channel change being detected in the first audio block, and create a new audio block aligned to start at the offset of time beyond the beginning of the first audio block using audio information from the audio stream, the new audio block to include a single channel of audio stream data. 
   
   ",,
US12245294B2,"Method for node used for wireless communication and apparatus 
       ","
     Provided are a method for a node used for wireless communication and an apparatus. One example method includes: receiving first signaling, wherein the first signaling indicates a plurality of physical random access channel occasion groups, and each of the plurality of physical random access channel occasion groups comprises a plurality of physical random access channel occasions; and receiving second signaling, wherein the second signaling indicates a value of a first index, and the value of the first index corresponds to at least one corresponding physical random access channel occasion group of the plurality of physical random access channel occasion groups. 
   
   ",,
US12316891B2,"Video generating method and apparatus, electronic device, and readable storage medium 
       ","
     A video generating method includes acquiring video materials from an initial collection which comprises user-related videos, acquiring a target audio material serving as background music, performing image feature extraction on video frames of each video material, and performing segmentation processing according to image feature information corresponding to each video frame to acquire a target video segment corresponding to the video material, and merging the target video segment and the corresponding target audio material to generate a target video. The target video includes video segments which are obtained based on the target video segments respectively, the video segments in the target video are played in order of post time, and time lengths of the video segments are matched with time lengths of corresponding musical phrases in the target audio material. 
   
   ",,
US12309636B2,"Data processing method, information configuration method, terminal, and network device 
       ","
     A data processing method includes: determining, by a PDCP entity of a terminal, at least one first transmission path corresponding to PDCP duplication that needs to be changed from an activated state to a deactivated state, from a transmission path set corresponding to PDCP duplication and including at least one transmission path currently in an activated state; and indicating, by the PDCP entity of the terminal, to a RLC entity corresponding to the first transmission path to discard duplicated data, in a case where the at least one first transmission path is not all transmission paths in the transmission path set. The transmission path set comprises at least one transmission path and a main transmission path. 
   
   ",,
US12284636B2,"Systems and methods for radio channel parameter optimization in a wireless network 
       ","
     A system described herein may identify a first set of channel parameters associated with a User Equipment (“UE”). The first set of channel parameters may include timing parameters indicating time intervals at which traffic is able to be wirelessly communicated between the UE and a radio access network (“RAN”), and resource allocation parameters indicating a measure of wireless resources allocated to communicating traffic between the UE and the RAN. The system may generate a second set of channel parameters based on a quantity of instances that traffic was communicated between the UE and the RAN at a beginning of one or more time intervals, indicated by the first set of channel parameters, and a measure of utilization of the allocated wireless resources during the particular timeframe. The UE and the RAN may subsequently communicate using the second set of channel parameters. 
   
   ",,
US12273832B2,"Methods to improve connectionless reception window widening 
       ","
     An example apparatus includes: a memory; instructions in the apparatus; and a Bluetooth controller to execute the instructions to: enable circuitry to receive a synchronized transmission; determine if a synchronized transmission is received during a first duration; increment the first duration to a second duration as a result of not receiving the synchronized transmission during the first duration; and determine a third duration based on a determined difference in time between enabling circuitry to receive a synchronized transmission and receiving the synchronized transmission. 
   
   ",,
US12216820B2,"Head mounted display with visual condition compensation 
       ","
     A method for compensating for a visual impairment in a virtual reality environment, by multiple computer systems associated with a head mounted display, including, rendering an initial image for display in a virtual reality environment, determining a first visual adjustment to the HMD based on an input received by the HMD, the input being associated with a visual impairment of a user of the HMD, determining that the first visual adjustment does not satisfy a threshold measure of compensation for the visual impairment of the user, determining a second visual adjustment to the HMD, and rendering an adjusted image for display in the virtual reality environment based on the first visual adjustment and the second visual adjustment. 
   
   ",,
US12259984B2,"Distributed computer architecture for processing data 
       ","
     Presented herein are systems and methods for obfuscating text data elements exchanged with deep learning architectures. A computing system may receive, from a computing device, a first input including a first plurality of data elements to be provided at least in part to a deep learning architecture. The computing system may parse the plurality of data elements of the first input to identify at least one first data element corresponding to an identifier type of a plurality of identifier types. The computing system may generate a second data element corresponding to the identifier type to replace the at least one first data element in the first input. The computing system may generate a first output from the first input by replacing the at least one first data element with the second data element. The computing system may transmit the first output for provision to a deep learning architecture. 
   
   ",,
US12306845B2,"Artificial intelligence driven knowledge graph generation 
       ","
     A data processing system implements accessing content items from a plurality of data sources, generating a knowledge graph by analyzing each of the content items with a language model to obtain embedding vectors representing each first content items, receiving a query and an indication of a format for results of the query from a first client device, generating query embeddings for the query using the first language model, searching the knowledge graph based on the query embeddings to obtain the results of the query, generating a representation of the results of the query according to the indication of the format for the results of the query, and causing the first client device to present the representation of the results of the query on a user interface of the first client device. 
   
   ",,
US12277511B2,"Method and system for predicting relevant network relationships 
       ","
     The computing device trains a first model on a first data set using a first graph to predict relevant links between a plurality of nodes. The computing device applies the trained first model to the one or more links between the plurality of nodes from a first node, iteratively connects each node to the one or more first sets of generated networks for each of the relevant links until the relevant links for connection to the plurality of nodes are not present, and outputs the one or more first sets of generated networks. The computing device also applies the trained first model to the one or more links between the plurality of nodes, removes the non-relevant links, connects each node of the plurality of nodes with the relevant links to generate one or more second sets of networks, and outputs the one or more second sets of generated networks. 
   
   ",,
US12309625B2,"Methods and apparatus to monitor WI-FI media streaming using an alternate access point 
       ","
     Methods, apparatus, systems and articles of manufacture are disclosed to monitor wireless traffic. An example apparatus disclosed herein includes at least one memory, instructions in the apparatus, and processor circuitry to execute the instructions to: establish, via a first wireless interface, a wireless connection with first network credentials to match second network credentials of a primary access point; monitor traffic via a second wireless interface, the second wireless interface different than the first wireless interface; identify, via the traffic monitored via the second wireless interface, a connection of a client to the primary access point; capture, via an alternate access point, a management frame transmitted from the primary access point to the client; insert a change channel announcement into the captured management frame; and re-transmit, via the first wireless interface, the captured management frame including the change channel announcement. 
   
   ",,
US12260762B2,"Application software for overhead obstacle detection and avoidance system for vehicles 
       ","
     A device may determine a geographical location and direction of a vehicle traveling on a highway, street or road, the vehicle having a known height. A device may determine the presence of a nearby overhead hazard toward which the vehicle is traveling. A device may retrieve from a database a height of the nearby overhead hazard. A device may compare height of the nearby overhead hazard to the known height of the vehicle. A device may provide an audible warning to the driver that the overhead hazard is too low for the vehicle to safely pass. 
   
   ",,
US12307010B2,"Method for controlling to display based on a detected line of sight of a user and a detected line-of-sight position 
       ","
     An information display device having a narrow display are, which enhances the operability and convenience of a user without requiring an additional hardware configuration, comprising: a display; a line-of-sight detection sensor configured to detect a line of sight of a user; a line-of-sight position detection unit configured to detect, as a line-of-sight position, an intersection between the line of sight detected by the line-of-sight detection sensor and the display; and a display control unit configured to control the display in accordance with the line-of-sight position detected by the line-of-sight position detection unit. The display control unit displays a predetermined menu in the first area, which is a display area within the display, when detecting an entering behavior in which the line-of-sight position moves from outside to inside the first area. 
   
   ",,
US12286236B2,"Systems and methods for precise vehicle locator 
       ","
     Systems and methods for locating UAV. The methods comprise: causing a physical joining of a payload with a fuselage of the UAV (where the payload comprises a communication relay); using a power source to supply power to the payload that is independent from a main power source of the UAV; and continuing to perform relay operations by the communication relay and location operations by a first locator, when power is no longer being supplied by the main power source. 
   
   ",,
US12297993B2,"System and method for portable, safety lighting 
       ","
     A lighting system includes a top housing, a bottom housing, and lens arranged between the top housing and the bottom housing. The lens includes a plurality of side surfaces that extend between the top housing and the bottom housing to form a perimeter of the lens. A plurality of lighting elements are configured to direct an emission of light out of the plurality of side surfaces. A controller is configured to selectively energize the plurality of lighting elements based on a first signal from a GPS module. 
   
   ",,
US12316887B2,"Remote pause buffer 
       ","
     Systems, apparatuses, and methods are described for replacing at least a part of a local time shift buffer of a user device with a remote time shift buffer. 
   
   ",,
US12294560B2,"Method and system for storing and managing digital assets 
       ","
     In some aspects, the techniques described herein relate to a method including: obtaining, by a computing device, a set of messages, each message including message metadata and message structure, at least one message of the set of messages comprising a digital asset; clustering, by the computing device, the set of messages based on the message metadata and the message structure; classifying, by the computing device, the clusters into categories; determining, by the computing device, a digital asset structure from at least one message cluster; and generating, by the computing device, at least one mapping rule based on the digital asset structure. 
   
   ",,
US12253754B2,"Display substrate, display panel, and display device 
       ","
     The embodiments of the present disclosure provide a display substrate, a display panel, and a display device. The display substrate includes: a first base substrate, wherein a plurality of sub-pixel regions arranged in an array are provided on the first base substrate; and a reflective layer provided on one side of the first base substrate, wherein a surface of the reflective layer away from the first base substrate is formed to include a plurality of first bumps and a plurality of second bumps, and the first bump has a size greater than that of the second bump. 
   
   ",,
US12210783B2,"System and method of providing universal mobile internet proxy printing 
       ","
     Disclosed is a method to enable printing on legacy devices. The method includes discovering a legacy device that does not have a universal record that enables the legacy device to provide services to a mobile device through a network, appending the universal record for the legacy device, transmitting the universal record for the legacy device to a controller, receiving, at the controller and from the mobile device, a request for services which can be provided by the legacy device, transmitting, from the controller and based on the universal record for the legacy device, data associated with the legacy device to the mobile device to yield transmitted data and transmitting, based on an acceptance of the transmitted data by the mobile device, a service request from the mobile device to the legacy device for providing a service to the mobile device. 
   
   ",,
US12309590B2,"Application programming interface (API) for uniform security access on a 5G network 
       ","
     Aspects of the disclosure relate to computing hardware and software for uniform security access. A computing platform may receive, from a 5G device, a request to access a collaborative experience service. The computing platform may identify whether the 5G device is authenticated. Based on identifying that the 5G device is authenticated, the computing platform may grant the 5G device access to an API that may be used to access the collaborative experience service. The computing platform may identify that attributes of the 5G device comply with a stored security policy, and grant access to the collaborative experience service in response. The computing platform may receive user interaction information from the 5G device, and may input the user interaction information into an anomaly detection model. Based on identifying that the interactions do not comprise an anomaly for the user, the computing platform may maintain the access to the collaborative experience service. 
   
   ",,
US12223915B2,"Pixel and gate driving circuit 
       ","
     A pixel includes: a light-emitting diode; a first transistor; a second transistor connected to a gate of the first transistor and to a data line; a third transistor connected to the gate of the first transistor and to a first voltage line; a fourth transistor connected to the first transistor and a second voltage line; a fifth transistor connected to the first transistor and to a third voltage line; and a sixth transistor connected to the first transistor and to the light-emitting diode, where a gate signal supplied to a gate of the sixth transistor is a signal obtained by shifting a gate signal supplied to a gate of the fifth transistor by a certain time. 
   
   ",,
US12271635B2,"Systems and methods for implementing and using a cross-process queue within a single computer 
       ","
     A system, method, and computer-program product includes implementing a cross-process queue within a single computer that is configured to transfer a data block between an operating system process executing a write operation and an operating system process executing a read operation, initializing in-memory cell indices within the cross-process queue that include a write operation index tracking index values of one or more cells within the cross-process queue that are available to write and a read operation index tracking index values of one or more cells within the cross-process queue that are available to read, and implementing a cell synchronization data structure tracking states of a plurality of cells of the index of cells of the cross-process queue. 
   
   ",,
US12306883B2,"Methods and systems for template generation 
       ","
     A computer-implemented method for template generation may include: receiving a first plurality of variables, each of the first plurality of variables specifying a feature to be implemented in a new template for document generation; for each of a plurality of existing templates for document generation, determining a degree of similarity between the first plurality of variables and a plurality of variables included in the respective existing template; upon determining that none of the degrees of similarity respectively determined for the plurality of existing templates satisfies a similarity threshold, determining that a combination of variables from two or more of the plurality of existing templates has a degree of similarity with the first plurality of variables satisfying the similarity threshold; and generating the new template based on the two or more of the plurality of existing templates. 
   
   ",,
US12317211B2,"Maintenance of multiple timing advance groups 
       ","
     A wireless device may receive one or more messages indicating at least two timing advance groups (TAGs) for a cell, wherein each TAG of the at least two TAGs is associated with a respective transmission configuration indicator (TCI) state. A wireless device may receive downlink control information (DCI). The DCI may indicate a semi-persistent scheduling (SPS) deactivation and an uplink resource of a hybrid automatic repeat request acknowledgement (HARQ-ACK) feedback. The wireless device may indicate, to a physical layer of the wireless device, a positive acknowledgement for the SPS deactivation in response to a time alignment timer of a TAG, among the at least two TAGs and associated with a TCI state used for transmitting the HARQ-ACK feedback, being running. The wireless device may transmit, via the cell and based on the TCI state, the HARQ-ACK feedback comprising the positive acknowledgement. 
   
   ",,
US12317196B2,"Power control for multiple transmission reception points 
       ","
     A wireless device receives configuration parameters comprising pathloss reference linking indicators for SRS resource sets of a first cell associated with one or more TRPs, wherein each SRS resource set of the SRS resource sets comprises SRS resources, and each SRS resource set is associated with a respective pathloss reference linking indicator of the pathloss reference linking indicators, indicating a cell index identifying a pathloss reference cell. The wireless device transmits, via SRS resources of a first SRS resource set of the SRS resource sets in the first cell, SRSs with a transmission power determined based on a first pathloss RS of a first pathloss reference cell, wherein the first pathloss reference cell is indicated by a first pathloss reference linking indicator, of the pathloss reference linking indicators, associated with the first SRS resource set. 
   
   ",,
US12309811B2,"Beam indication and application with multiple carriers 
       ","
     A wireless device receives, from a base station, a control signal indicating a plurality of transmission configuration indicator (TCI) states for one or more entries. An entry of the one or more entries indicates a first TCI state, of the plurality of TCI states, for a fit cell and a second TCI state, of the plurality of TCI states, for a second cell. The wireless device receives downlink control information (DCI) scheduling a first transport block for the first cell and a second transport block for the second cell. The DCI includes a TCI field indicating the entry. The wireless device communicates, with the base station, the first transport block, via the first cell, based on the first TCI state in the entry and the second transport block, via the second cell, based on the second TCI state in the entry. 
   
   ",,
US12309867B2,"Beam failure recovery with multiple cells 
       ","
     A base station transmits, to a wireless device, configuration parameters indicating one or more first reference signals (RSs), on a first cell, as RSs for a beam failure recovery (BFR) procedure of a second cell. Based on a deactivation of the first cell, the base station stops transmitting a response for the BFR procedure of the second cell, wherein the BFR procedure is triggered by the wireless device for the second cell. 
   
   ",,
US12307544B2,"Automatic guided image capturing and presentation of images 
       ","
     Disclosed are embodiments for facilitating automatic-guided image capturing and presentation. In some embodiments, the method includes capturing an image of an item, removing a background of the image frame, performing manual mask editing, generating an item listing based on the manually edited mask, inferring item information from the image frame and applying the inferred item information to an item listing. 
   
   ",,
US12309245B2,"Universal protocol translator 
       ","
     In one implementation, a universal translator device for translating protocols, the device includes one or more peripheral device interfaces through which communication from one or more peripheral devices is received using any of a plurality of protocols; a protocol translator that is (i) preconfigured with translation mappings to translate between each possible permutation of the plurality of protocols and (ii) programmed to translate, using the translation mappings, signals received from the peripheral devices into at least one target protocol; and a wireless interface that is configured to transmit wireless signals in the target protocol, the wireless signals having been translated into the target protocol by the protocol translator. 
   
   ",,
US12314632B2,"Methods and user interfaces for monitoring sound reduction 
       ","
     The present disclosure generally relates to user interfaces and techniques for managing and visualizing sound reduction using a computer system. In accordance with some embodiments, the computer system displays a representation of a noise level including, in accordance with a sound reduction display option being enabled, a first indication of a noise level at a first time and a second indication of a noise level at a time different from the first time. In accordance with some embodiments, in accordance with a determination that the sound reduction display option is not enabled, an indication of a noise level at the first time that indicates the noise level. 
   
   ",,
US12307938B2,"Display apparatus, method of driving display panel using the same and electronic apparatus including the same 
       ","
     A display apparatus includes a display panel and a display panel driver. The display panel driver drives the display panel. The display panel driver determines at least one selected from a first low luminance pattern and a second low luminance pattern, where the first lower luminance pattern includes a first low luminance area at a first end portion of the display panel in a vertical direction and a second low luminance area at a second end portion of the display panel in the vertical direction, and the second low luminance pattern includes a third low luminance area at a first end portion of the display panel in a horizontal direction and a fourth low luminance area at a second end portion of the display panel in the horizontal direction. The display panel driver determines a compensation area including a boundary between a low luminance area and a normal area. 
   
   ",,
US12303700B2,"Method and system for implanting a septal wall electrode 
       ","
     A system is provided that includes a first electrode configured to be located within a septal wall, and a second electrode configured to be located outside of the septal wall. The system also includes an impedance circuit configured to measure impedance along an impedance monitoring (IM) vector between the first and second electrodes. One or more processors are also provided that are configured to obtain impedance data indicative of an impedance along the IM vector with the first electrode located at different depths within the septal wall, the impedance data including a set of data values associated with different depths of the first electrode within the septal wall. The one or more processors are also configured to determine when the first electrode is located at a target depth within the septal wall based on the impedance data. 
   
   ",,
